species,IUCN,proba
Diancistrus-machidai,NThr,80.5
Diancistrus-pohnpeiensis,Thr,96.5
Diancistrus-tongaensis,NaN,58.5
Dicotylichthys-punctulatus,NaN,59.0
Dinematichthys-iluocoeteoides,NaN,72.5
Dinoperca-petersi,NaN,69.5
Diodon-liturosus,NThr,100.0
Diodon-nicthemerus,NaN,75.5
Diplogrammus-goramensis,NThr,96.0
Dipulus-caecus,Thr,96.0
Dipulus-norfolkanus,Thr,97.5
Dischistodus-chrysopoecilus,NThr,92.0
Dischistodus-fasciatus,NThr,96.0
Dischistodus-melanotus,NThr,93.5
Dischistodus-prosopotaenia,NThr,100.0
Dischistodus-pseudochrysopoecilus,NThr,92.0
Drepane-longimana,NaN,80.0
Drepane-punctata,NaN,54.5
Dunckerocampus-dactyliophorus,NThr,96.5
Echidna-delicatula,NaN,56.0
Echinophryne-reynoldsi,NaN,56.5
Elacatinus-figaro,NaN,55.5
Encheliophis-gracilis,NThr,97.5
Encheliophis-homei,NThr,98.0
Encheliophis-vermicularis,NThr,86.0
Enchelynassa-canina,Thr,92.5
Encrasicholina-devisi,NThr,100.0
Enoplosus-armatus,Thr,82.0
Ephippus-orbis,NThr,98.0
Epinephelus-awoara,NaN,53.5
Epinephelus-bruneus,Thr,97.0
Epinephelus-lanceolatus,Thr,96.5
Epinephelus-posteli,Thr,100.0
Epinephelus-quinquefasciatus,Thr,100.0
Epinephelus-tauvina,Thr,99.0
Eviota-albolineata,NThr,92.5
Eviota-epiphanes,NaN,56.5
Eviota-herrei,NThr,91.5
Eviota-nigriventris,NThr,99.0
Eviota-susanae,Thr,96.5
Evistias-acutirostris,Thr,95.5
Exyrias-akihito,NThr,98.0
Feia-dabra,Thr,94.0
Foa-brachygramma,NThr,100.0
Foa-fo,NThr,100.0
Fowleria-aurita,NThr,98.5
Fowleria-flammea,NThr,96.0
Fowleria-isostigma,NThr,100.0
Fowleria-marmorata,NThr,100.0
Fowleria-punctulata,NThr,96.5
Fowleria-vaiulae,NThr,100.0
Fusigobius-aureus,NThr,91.0
Fusigobius-signipinnis,NThr,94.5
Gladiogobius-ensifer,NThr,98.5
Glaucosoma-hebraicum,Thr,99.0
Glyptauchen-panduratus,NaN,74.0
Gobiodon-acicularis,NaN,75.0
Gobiodon-axillaris,NThr,95.0
Gobiodon-brochus,NThr,92.0
Gobiodon-ceramensis,NThr,92.5
Gobiodon-citrinus,NThr,100.0
Gobiodon-multilineatus,NThr,99.5
Gobiodon-okinawae,NThr,93.0
Gobiodon-prolixus,NThr,97.5
Gobiodon-quinquestrigatus,NThr,100.0
Gobiodon-rivulatus,NThr,100.0
Gobiopsis-angustifrons,NThr,100.0
Gobiopsis-aporia,NThr,98.0
Gobiopsis-bravoi,NThr,83.0
Gobiopsis-woodsi,NaN,67.0
Gramma-brasiliensis,NaN,71.5
Gymnapogon-philippinus,NThr,95.0
Gymnothorax-hansi,Thr,100.0
Gymnothorax-punctatofasciatus,NaN,77.5
Gymnothorax-reevesii,Thr,89.5
Haemulon-album,NaN,59.5
Halichoeres-brasiliensis,NaN,71.5
Halichoeres-pelicieri,NaN,61.0
Halichoeres-signifer,Thr,100.0
Haliophis-guttatus,NaN,76.5
Halophryne-diemensis,NaN,57.0
Hemiglyphidodon-plagiometopon,NaN,67.5
Hemiramphus-far,NThr,100.0
Heterodontus-quoyi,Thr,100.0
Hippocampus-denise,Thr,82.5
Hippocampus-queenslandicus,Thr,94.0
Histiophryne-bougainvilli,NThr,86.0
Histiophryne-cryptacanthus,NThr,94.0
Histiopterus-typus,NaN,57.0
Hoplolatilus-cuniculus,NThr,100.0
Hoplolatilus-fronticinctus,NThr,100.0
Hoplolatilus-marcosi,NThr,100.0
Hoplolatilus-pohle,NaN,53.5
Hoplolatilus-starcki,NThr,100.0
Hypoatherina-barnesi,NThr,95.0
Hypoatherina-ovalaua,NThr,88.5
Hypoatherina-temminckii,NThr,94.5
Hypoplectrodes-maccullochi,Thr,95.5
Hyporhamphus-affinis,NThr,87.5
Hyporhamphus-dussumieri,NThr,88.0
Ichthyapus-vulturis,NaN,58.0
Inimicus-didactylus,NaN,63.5
Istigobius-goldmanni,NThr,100.0
Kaupichthys-atronasus,NThr,96.0
Kaupichthys-diodontus,NThr,98.5
Kyphosus-incisor,NaN,78.5
Labracinus-cyclophthalmus,NThr,87.5
Labracinus-lineatus,NaN,52.5
Lactoria-cornuta,NThr,97.5
Lactoria-diaphana,NThr,95.0
Lactoria-fornasini,NThr,98.0
Lappanella-guineensis,Thr,88.0
Larabicus-quadrilineatus,NaN,53.0
Leiuranus-semicinctus,NThr,100.0
Lepidozygus-tapeinosoma,NThr,92.5
Liopropoma-longilepis,NaN,53.5
Lophiocharon-trisignatus,NThr,95.0
Lotilia-graciliosa,NThr,99.5
Lutjanus-buccanella,NaN,55.0
Lutjanus-goreensis,NaN,73.5
Lutjanus-jocu,Thr,98.5
Luzonichthys-microlepis,NaN,61.5
Lythrypnus-brasiliensis,NThr,82.5
Lythrypnus-rhizophora,NThr,87.0
Malacanthus-brevirostris,NaN,57.5
Malacanthus-latovittatus,NThr,100.0
Mecaenichthys-immaculatus,NaN,78.0
Meiacanthus-phaeus,NaN,73.5
Melichthys-indicus,NThr,95.0
Melichthys-vidua,NThr,95.0
Mene-maculata,NThr,98.5
Microbrotula-bentleyi,NaN,51.0
Monocentris-japonica,NThr,100.0
Moolgarda-seheli,NThr,90.5
Moringua-ferruginea,NaN,65.0
Moringua-javanica,NaN,55.0
Moringua-microchir,NThr,100.0
Muraenichthys-schultzei,NThr,99.5
Mycteroperca-phenax,Thr,100.0
Mycteroperca-prionura,Thr,94.0
Mycteroperca-tigris,Thr,100.0
Myliobatis-australis,Thr,100.0
Myoxocephalus-stelleri,Thr,83.0
Myrichthys-colubrinus,NaN,54.0
Myrichthys-maculosus,NaN,64.0
Myripristis-tiki,NaN,69.0
Myripristis-xanthacra,NaN,57.0
Myxus-elongatus,NThr,97.5
Narcine-brasiliensis,NaN,67.0
Naso-reticulatus,NThr,82.0
Neatypus-obliquus,NaN,52.0
Nectamia-luxuria,NThr,99.5
Nectamia-savayensis,NThr,100.0
Neoglyphidodon-carlsoni,Thr,91.5
Neoglyphidodon-crossi,NaN,56.0
Neoglyphidodon-melas,NThr,89.5
Neoglyphidodon-nigroris,NaN,71.5
Neoglyphidodon-oxyodon,NaN,65.5
Neoglyphidodon-polyacanthus,NThr,84.5
Neoglyphidodon-thoracotaeniatus,NThr,97.0
Neopomacentrus-anabatoides,NThr,96.5
Neopomacentrus-azysron,NThr,100.0
Neopomacentrus-cyanomos,NThr,100.0
Neopomacentrus-filamentosus,NThr,97.0
Neopomacentrus-fuliginosus,NaN,62.5
Neopomacentrus-metallicus,NThr,87.5
Neopomacentrus-miryae,NaN,67.5
Neopomacentrus-nemurus,NaN,53.0
Neopomacentrus-sindensis,NaN,62.5
Neopomacentrus-sororius,NThr,89.5
Neopomacentrus-violascens,NThr,95.0
Neopomacentrus-xanthurus,NaN,56.0
Neosebastes-bougainvillii,NaN,66.5
Neosebastes-entaxis,NThr,95.5
Neosebastes-incisipinnis,NaN,66.0
Neosebastes-nigropunctatus,NaN,57.0
Neosebastes-pandus,NaN,80.0
Neosebastes-scorpaenoides,NThr,89.0
Neotrygon-kuhlii,Thr,97.5
Ocyurus-chrysurus,Thr,94.5
Odonus-niger,NThr,94.5
Oedalechilus-labiosus,NThr,88.5
Ogilbichthys-tobagoensis,Thr,100.0
Ogilbyina-queenslandiae,NThr,83.0
Omox-biporos,NThr,99.0
Onuxodon-fowleri,NThr,100.0
Ophichthus-bonaparti,NaN,51.0
Ophichthus-cephalozona,NaN,61.5
Ophichthus-erabo,NaN,72.5
Opistognathus-dendriticus,NaN,68.0
Opistognathus-jacksoniensis,NThr,92.5
Opistognathus-rosenbergii,NThr,96.0
Oplegnathus-conwayi,Thr,96.5
