species,IUCN,proba
Pseudochromis-steenei,NaN,72.5
Pseudochromis-tonozukai,NaN,67.0
Pseudochromis-viridis,Thr,96.5
Pseudogramma-erythrea,NaN,56.5
Pseudogramma-megamyctera,NaN,53.0
Pseudojuloides-xanthomos,Thr,91.5
Pseudoplesiops-collare,NThr,92.5
Pseudoplesiops-occidentalis,NaN,80.0
Ptereleotris-arabica,NThr,95.5
Ptereleotris-brachyptera,NaN,55.0
Ptereleotris-crossogenion,NaN,71.5
Pterocaesio-flavifasciata,NaN,77.5
Pterois-andover,NThr,95.0
Rabaulichthys-suzukii,NaN,63.0
Radulinus-asprellus,Thr,97.5
Redigobius-leveri,NaN,75.5
Rhabdamia-spilota,NThr,84.5
Rhamphocottus-richardsonii,NaN,72.0
Rhinopias-cea,NaN,51.0
Rimicola-eigenmanni,NaN,59.0
Ruscarius-creaseri,NaN,56.5
Samariscus-corallinus,NaN,62.0
Sargocentron-marisrubri,NaN,77.5
Sargocentron-shimizui,NaN,69.5
Scarus-obishime,NaN,69.0
Scolecenchelys-chilensis,Thr,99.5
Scolecenchelys-iredalei,NaN,70.0
Scolecenchelys-nicholsae,NaN,76.0
Scolecenchelys-puhioilo,NaN,61.5
Scorpaena-annobonae,NaN,72.5
Scorpaena-brevispina,NaN,75.5
Scorpaena-cocosensis,NaN,75.0
Scorpaena-gasta,Thr,82.0
Scorpaenodes-arenai,NaN,53.0
Scorpaenodes-tribulosus,NaN,65.0
Scorpaenopsis-longispina,NaN,51.5
Scorpaenopsis-obtusa,NaN,50.5
Scorpaenopsis-pluralis,NaN,75.0
Scorpis-violacea,NaN,76.5
Sebastes-lentiginosus,NaN,70.0
Sebastes-melanops,Thr,98.0
Similiparma-hermani,NaN,75.5
Siokunichthys-bentuviai,NaN,70.0
Siokunichthys-nigrolineatus,NThr,98.5
Siokunichthys-striatus,Thr,83.5
Siphamia-corallicola,NThr,94.0
Siphamia-spinicola,NThr,81.0
Siphonogobius-nue,NaN,62.0
Spaniblennius-riodourensis,NaN,67.5
Stalix-flavida,NaN,67.0
Stalix-immaculata,NThr,84.0
Stalix-moenensis,NaN,64.5
Stalix-sheni,NaN,61.0
Stalix-versluysi,NThr,81.0
Starksia-lepidogaster,Thr,100.0
Steeneichthys-nativitatus,NaN,62.0
Stegastes-punctatus,NThr,90.0
Stolephorus-multibranchus,Thr,95.5
Stolephorus-pacificus,Thr,98.0
Stonogobiops-dracula,NaN,56.0
Stonogobiops-medon,Thr,100.0
Stonogobiops-nematodes,NThr,100.0
Stonogobiops-pentafasciata,Thr,96.5
Stonogobiops-yasha,NThr,95.0
Suezichthys-bifurcatus,NThr,81.5
Synchiropus-corallinus,NThr,82.0
Syngnathus-euchrous,NaN,53.0
Synodus-fasciapelvicus,NaN,60.5
Synodus-mascarensis,NaN,78.0
Taeniamia-ataenia,NaN,80.0
Taeniamia-biguttata,NThr,93.0
Taeniamia-bilineata,NaN,58.0
Taeniamia-flavofasciata,NThr,85.5
Taeniamia-fucata,NThr,95.0
Taeniamia-leai,NThr,82.5
Taeniamia-lineolata,NThr,94.5
Taeniamia-macroptera,NThr,98.5
Taeniamia-mozambiquensis,NThr,81.5
Taeniamia-pallida,NaN,62.0
Taeniamia-zosterophora,NThr,94.0
Thalasseleotris-adela,NaN,76.5
Tigrigobius-limbaughi,Thr,86.5
Tomicodon-clarkei,Thr,86.5
Tomicodon-lavettsmithi,NaN,68.0
Tomiyamichthys-alleni,NaN,58.5
Tomiyamichthys-lanceolatus,NThr,100.0
Tomiyamichthys-latruncularius,NThr,94.5
Tomiyamichthys-oni,NThr,100.0
Tomiyamichthys-smithi,NaN,55.0
Tomiyamichthys-tanyspilus,NaN,64.0
Torpedo-peruana,Thr,88.5
Torpedo-sinuspersici,Thr,94.0
Tosanoides-filamentosus,NaN,67.5
Tosanoides-flavofasciatus,NaN,57.0
Trachinotus-anak,NaN,71.0
Trichonotus-arabicus,NaN,67.5
Tryssogobius-longipes,NaN,65.5
Tryssogobius-nigrolineatus,Thr,91.5
Ungusurculus-collettei,Thr,86.0
Ungusurculus-komodoensis,NaN,69.0
Ungusurculus-philippinensis,Thr,84.5
Ungusurculus-riauensis,NaN,53.5
Ungusurculus-sundaensis,NaN,55.0
Ungusurculus-williamsi,Thr,81.0
Upeneichthys-stotti,NaN,78.5
Urolophus-maculatus,NaN,51.5
Uropterygius-genie,Thr,84.5
Uropterygius-golanii,NaN,67.0
Uropterygius-oligospondylus,NaN,58.5
Valenciennea-bella,NThr,97.5
Vanderhorstia-attenuata,Thr,87.5
Vanderhorstia-auronotata,Thr,83.0
Vanderhorstia-bella,Thr,85.0
Vanderhorstia-belloides,NaN,56.5
Vanderhorstia-dorsomacula,NaN,61.0
Vanderhorstia-flavilineata,NaN,56.5
Vanderhorstia-hiramatsui,NaN,78.0
Vanderhorstia-longimanus,NaN,65.5
Vanderhorstia-mertensi,NThr,91.5
Vanderhorstia-phaeosticta,NaN,78.5
Varicus-imswe,NaN,77.0
Verulux-cypselurus,NThr,99.0
Vincentia-conspersa,NaN,51.5
Wetmorella-tanakai,NThr,91.5
Xenisthmus-semicinctus,NaN,75.5
Xenoconger-fryeri,NaN,68.0
Yirrkala-moorei,NaN,53.0
Yirrkala-timorensis,NThr,100.0
Zapogon-isus,NaN,79.5
Zapteryx-exasperata,Thr,83.0
Zenopsis-nebulosa,NaN,77.0
Zephyrichthys-barryi,Thr,97.0
Zoramia-viridiventer,NThr,96.5
